10005	11375	10312	10032	11204	11211	11429	10044	11414	11225	11210	10069	11694	11229	10036	10282	10029	10025	10460	10030	11201	11422	11215	11363	10302	10470	10027	10471	10017	10452	11379	11697	11219	11420	11223	10009	11234	10301	10010	10022	11104	11228	10007	10040	10455	10303	11361	11419	10004	11354	10475	11220	11221	10006	10464	10463	11214	10016	10308	10307	11416	11436	10128	10305	10474	11428	10018	10314	10037	10002	11238	11235	10472	11421	11224	11415	10459	10462	10001	11374	11692	11360	11213	10039	11358	10457	10304	11106	11212	11205	10011	10461	11232	11230	11385	10019	11208	11216	10465	10451	10023	11357	11432	11102	10014	11435	10021	10012	11691	11233	11426	11417	10026	11412	10467	11105	10013	11203	11231	11364	10473	10033	10031	10028	11378	11222	11411	10456	11368	11423	11226	10306	11218	11365	11209	10034	11103	11418	10458	11369	11356	11237	11433	10003	11693	10310	11370	10453	11367	11366	11413	11377	11373	11236	10469	11206	10024	10309	11239	11004	11101	11372	11362	10454	11427	11217	10466	11207	10035	10280	10038	11434	11355	10468
10038	11207	11413	11373	11226	11362	10035	11370	11417	11101	11208	10459	10301	10039	11106	10034	10309	11435	10473	10023	11224	11692	11364	11436	10006	11361	10019	11212	10007	10026	11233	11421	11377	10471	11203	11214	10453	11228	11422	10306	11209	10304	10469	10028	10457	11213	10013	11360	11411	10308	10029	11104	11222	10465	10461	11357	11220	11237	10466	10011	11238	10464	11354	10016	10002	10001	10025	11434	11221	11420	11418	10474	10033	11205	11691	10455	10037	11416	10310	10024	10027	10018	11367	11372	11356	11419	11223	11234	10280	10022	11412	10021	11363	11369	11235	10031	10302	10303	11206	11374	11215	11385	11423	10036	10462	11230	10040	10454	11004	10014	11694	11210	11368	10475	11103	11218	11379	10463	11211	11217	11232	11201	10030	11105	10305	10012	11432	11426	11697	11366	11693	10032	11102	10010	11204	11375	10314	11358	11378	11415	10307	11433	11429	10456	10472	10128	11428	10467	10005	11414	11231	10044	11239	10460	10458	11236	11229	10312	11365	10451	10009	10004	11216	10452	10017	11219	11427	10003	11225	10282	10470	11355	10069	10468
10013	11203	10039	11421	11208	11361	11432	10034	11417	10465	10027	10474	11360	10305	10018	11209	11416	10457	10304	11238	10471	10473	10037	10007	10002	11368	10022	10128	10459	11213	11210	11428	11364	10036	11224	10303	11354	10040	11212	11216	10004	10006	11237	10455	10310	10029	11221	10026	11369	11377	11205	10475	11419	11230	10461	11357	10011	11435	10023	11422	10314	11233	11374	10462	11412	11379	11105	10028	11228	11415	11214	10307	11378	11235	11218	11356	10309	11222	11104	11692	10021	10469	10033	10306	10453	11206	11414	10308	11694	11423	11418	10044	11211	11201	10463	10001	11363	11385	11004	11429	10031	11220	10302	10016	11232	10030	10464	11426	10451	11358	11215	10003	11372	11436	11367	10452	11219	10017	11204	11697	10032	10009	11223	10472	10012	10010	11420	11234	10301	11236	11231	11365	11411	10024	10458	10467	11239	11225	10282	10456	11413	10454	10025	10460	10466	11373	11229	11103	11102	11691	11106	11366	11433	10014	11226	10470	11375	10312	10005	10069	10019	11427	11217	10035	11370	11693	10280	11362	11101	11207	10038	11434	11355	10468
10007	10029	11361	10027	10039	10304	10457	10462	10471	11421	11360	11210	10036	10016	11694	10464	11220	10463	10030	11435	11208	11221	11201	11215	10006	11212	10455	11412	11211	10037	11422	10011	10018	11417	10010	10474	11416	11204	10305	10028	10023	11228	11203	11379	11374	10022	11415	10002	11238	10301	10013	11218	10472	11222	10473	11368	11692	10306	11414	11213	10459	10460	10044	10308	11432	11224	10303	10040	11385	11237	11419	11229	11418	10451	11691	10302	11205	11357	11354	11363	11230	11106	11102	11216	11367	10014	10475	10461	11436	10017	11697	11375	11369	11219	10032	10452	10465	10458	10314	10009	11223	11214	10034	11235	11234	11206	10309	11209	10033	11104	11233	10467	11239	10307	11365	10005	10025	10024	11411	11356	10128	11377	11225	11364	10021	11423	11428	10282	11103	11429	11358	10001	11232	10026	10004	10310	11433	11426	10031	11366	10470	10312	11105	11420	11231	11236	11413	10019	10469	10466	11373	10456	10453	11226	11427	10069	10454	11217	11004	11372	10003	11370	10012	11378	10035	10280	11362	11101	11693	11207	10038	11434	11355	10468
10006	11228	11224	11208	10455	11361	11212	11417	11435	11422	10037	11223	10028	10023	11235	10039	10022	11692	10007	10459	10471	10304	10306	10473	11421	11694	11220	10308	10016	10036	11221	11215	11237	11205	10464	11363	11433	10029	10030	11357	10475	11367	10011	11375	10474	11204	11416	10462	10018	10027	11436	10032	11203	11231	11360	11214	10457	11222	11420	10013	11374	11209	11234	10034	10458	10309	11356	10456	10002	11218	11364	10301	11368	11411	11104	10460	11210	10044	10040	11429	10463	11377	11201	10303	11385	11213	10004	11432	11232	11354	10302	10014	11211	11230	11691	11358	11102	11229	10310	11426	10452	11219	11106	11369	10465	10017	11697	10312	10314	10461	10009	11236	10010	11379	11105	11378	10307	10305	11412	11415	10012	10472	11233	10466	11238	10033	10128	10005	10454	11414	10469	11225	11418	11103	10453	11373	11427	10025	11423	11413	11217	11206	11216	10024	11428	10451	10026	10001	10031	11419	10470	11366	11372	10021	11365	10069	11370	10467	10019	10282	11239	11004	11226	10003	10035	10280	11362	11693	11207	11101	10038	11434	11355	10468
10282	11210	11414	10069	11211	11419	10027	11375	11379	10017	10452	11415	11428	11238	10005	10021	10128	11354	11221	11225	10036	11201	10303	10451	10044	10302	10030	10029	11385	11229	11363	10464	10475	11232	10461	10470	10457	10032	11697	11214	11416	10018	10314	11219	10305	11234	11374	10312	10007	10471	10009	10307	11233	10472	10304	10033	10002	10012	10467	11104	10025	10001	10040	11361	11205	11102	10463	11429	11694	11212	10455	10016	11103	11220	10011	11436	10004	11432	11237	11215	11691	11216	11357	10023	11422	10301	10465	11223	10039	10037	10462	11105	11421	11204	11360	10022	10013	10474	11228	11236	11218	11235	11203	10459	10010	11420	10456	11222	10473	11378	11231	11423	11364	11692	10308	11224	11418	10031	11213	10026	10006	11358	11369	10460	11208	11106	10003	11209	11230	11417	11435	10469	10453	10019	11412	10028	11226	10306	11368	11356	11365	11411	11377	11217	10024	11372	11367	11370	11426	10310	10014	11413	11366	10034	10454	10309	11693	10458	11239	11427	11206	11101	11004	11433	11362	11373	10466	10035	11207	10280	10038	11434	11355	10468
10012	11363	10314	11378	11234	11224	10473	11104	11228	10469	11209	10455	10030	11236	10036	11212	10021	11354	10023	10475	11208	10307	10006	11419	10282	11357	11237	10474	11420	11417	10452	11203	10037	11223	10461	10128	10017	11231	11375	11429	11225	11364	11238	10013	11428	10459	11235	11233	10303	10040	10039	11436	10470	10044	10457	11694	10034	11361	11230	11229	10456	10004	10304	10069	10465	11210	10011	11211	11105	11385	11221	10312	11413	11422	11205	10302	11369	11232	11214	11435	10464	10032	10009	10033	11356	10018	11697	11416	11204	10005	10031	10027	11377	10471	10002	11379	11415	10028	10022	11692	11360	11421	11213	10007	10025	10453	11218	11374	10308	10460	11414	11222	11358	10001	10306	11423	10309	10026	11217	10024	11103	11418	11215	10451	11201	10454	10463	11220	11373	10467	11432	10003	11102	10016	10310	11433	11426	10029	10301	11691	11219	11367	11372	10472	10305	10462	10035	11368	11427	10458	11206	11411	11216	10014	11370	10019	11106	10010	11412	11366	11693	11365	11226	11004	11362	10466	11101	11239	10280	11207	10038	11434	11355	10468
10014	10306	10010	10460	11220	10463	11435	10462	11204	10028	11692	10309	10007	11360	11385	11694	11205	11418	10006	11366	11215	10464	11361	11237	10011	11102	10016	10451	11212	10029	11208	10023	10310	11417	10301	10312	10474	10018	11203	10027	11223	10002	11379	11228	11416	10037	10305	10304	11218	11374	10471	10457	11377	10472	10308	10459	10039	10473	11103	11224	10024	11364	11414	10466	10044	10455	11421	10454	11225	11210	11427	11206	11211	10036	10303	11429	11201	11217	10302	11422	10030	10040	11357	11221	11214	11363	11367	10465	11432	11209	11229	11433	11436	11216	11230	10034	11106	11691	10017	11219	10470	10009	10452	10032	11697	11373	11375	11105	11235	10307	10453	11420	11412	10314	11234	11356	11231	11236	10456	10019	11213	10022	11233	10467	11415	11423	11238	10013	11104	11222	11411	11368	10458	10005	11365	10033	11239	10031	11232	10280	10475	11354	11419	10004	11426	11369	10461	10469	10021	10128	11413	11378	10025	11428	10026	10069	10001	11358	11004	10282	10003	10012	11372	11370	11226	11207	11362	10035	11693	11101	10038	11434	11355	10468
10011	11361	10455	11221	11212	11237	10023	11435	10018	11203	11416	10472	10037	10304	11692	11374	10028	10002	10039	10471	11222	10007	11218	11421	10031	10473	10033	11694	10303	11422	11211	10451	11354	10006	11220	10464	10030	11229	11215	10029	11385	11208	10475	10465	11436	11369	11417	11356	10461	10027	11223	10032	10010	10017	11379	10314	10474	10308	10307	10462	10459	10019	10022	10305	10457	11228	11415	11368	11231	11213	10013	10128	11360	10306	11364	11238	11414	11428	11224	10460	11225	11429	11210	10302	10467	11377	11102	10044	11103	10034	10004	10040	10001	10036	11201	10463	11216	10014	11230	11205	11432	11232	10016	11357	11214	11691	11419	10470	11367	11209	10026	11219	11105	10452	11204	10301	11420	11697	10009	11412	11234	11235	10021	10469	10456	11378	11423	11233	11411	10453	10282	10458	10309	11427	11358	11413	11418	10024	11206	11363	11217	11426	11433	11106	10003	10012	10310	11375	10312	10005	11372	11373	11370	11236	10069	11104	11365	10454	10025	11226	11239	11693	11004	10466	11366	11362	10035	11101	10280	11207	10038	11434	11355	10468
10001	10026	11428	11211	11221	11354	10022	11421	10471	11436	10033	11374	10128	11222	11422	11229	10303	10004	11210	10453	11419	10029	10475	11201	10030	11212	10023	10464	10455	11361	11691	11432	10461	10011	11379	10305	11105	11415	10032	10017	10027	10459	11223	10003	11416	11234	11228	10002	11238	10018	10007	10013	10039	10472	11225	11378	11233	11356	10308	11218	10304	11368	11429	10282	10302	10473	11414	10044	10036	11694	11213	11004	11215	11412	11220	10451	11385	11417	10031	11357	11102	11208	10019	10016	11216	11205	11435	10006	10301	11232	10470	11237	11693	10310	11372	11375	10034	10465	11214	11420	11369	10005	10467	11692	11697	11104	10010	10025	10037	10314	11224	10306	10462	10456	11235	11203	11239	11106	10457	11364	11231	11360	10028	10307	11423	11370	11103	11411	11358	11377	11217	10040	10466	10463	11413	11363	10312	11426	11367	10009	10012	10452	11204	10469	11209	11219	11226	10021	10474	11418	11362	11101	10024	11365	10309	10069	10458	11206	10460	10014	11427	11433	11373	11366	11230	10035	11236	10454	11207	10280	10038	11434	11355	10468
